--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
X 3801108306 /    1  ECPO  800000     117179     ALL TRADES SAFETY & WORKWEAR SUPPLI F     10625507                     115.80          4.000 MA9MITD      11.02.2019 08.0
X 3801108490 /    1  ECPO  800000     103300     BARRON GJM PTY LTD                  F     10637629                     952.00          1.000 MAANAA       18.02.2019 08.0
X 3801108490 /    2  ECPO  800000     103300     BARRON GJM PTY LTD                  F     10637629                     538.00          1.000 MAANAA       18.02.2019 08.0
X 3801108490 /    3  ECPO  800000     103300     BARRON GJM PTY LTD                  F     10637629                      35.00          1.000 MAANAA       18.02.2019 08.0
X 3801108667 /    1  ECPO  800000     103876     BROOKES ENGRAVING                   F     10614093                     484.00          0.000 MADUNM2      26.02.2019 30.0
X 3801108936 /    1  ECPO  800000     117069     COTRAL AUSTRALIA                    F     10628780                     154.10          1.000 MA9MORO2     04.02.2019 06.0
X 3801109099 /    1  ECPO  800000     105410     TREOTHAM AUTOMATION PTY LTD         F     10642965                    2175.00          0.000 SRM_ER04     20.02.2019 12.0
X 3801109099 /    2  ECPO  800000     105410     TREOTHAM AUTOMATION PTY LTD         F     10642965                    4800.00          0.000 SRM_ER04     20.02.2019 12.0
X 3801109099 /    3  ECPO  800000     105410     TREOTHAM AUTOMATION PTY LTD         F     10642965                      25.00          0.000 SRM_ER04     20.02.2019 12.0
X 3801109311 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10634952                    2426.00          0.000 MA9WILJ      20.02.2019 15.0
X 3801109311 /    2  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10634952                    1080.00          0.000 MA9WILJ      20.02.2019 15.0
X 3801109311 /    3  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10634952                     188.00          0.000 MA9WILJ      20.02.2019 15.0
X 3801109654 /    1  ECPO  800000     104058     VEGA AUST PTY LTD                   F     10647622                    8501.95          2.000 MAHULJ       25.02.2019 13.0
X 3801109654 /    2  ECPO  800000     104058     VEGA AUST PTY LTD                   F     10647622                      55.00          1.000 MAHULJ       25.02.2019 13.0
X 3801109762 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10645463                     813.75          0.000 SRM_ER04     08.02.2019 14.0
X 3801109766 /    1  ECPO  800000     103829     REFRIGERATION & AIR SUPPLIES        F     10647354                     147.50          0.000 MAPRIP       20.02.2019 14.0
X 3801110178 /    1  ECPO  800000     116870     DRAEGER AUSTRALIA PTY LTD           F     10646769                     279.81          1.000 MA9MURP1     13.02.2019 15.0
X 3801110178 /    2  ECPO  800000     116870     DRAEGER AUSTRALIA PTY LTD           F     10646769                     163.95         10.000 MA9MURP1     13.02.2019 15.0
X 3801110178 /    3  ECPO  800000     116870     DRAEGER AUSTRALIA PTY LTD           F     10646769                      26.24         10.000 MA9MURP1     13.02.2019 15.0
X 3801110300 /    1  ECPO  800000     115965     ILLAWARRA SIGNS COMPANY PTY LTD     F     10646921                      77.45          1.000 MAMCDC       08.02.2019 12.0
X 3801110502 /    2  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10593856                       5.00         50.000 MAMASD2      13.02.2019 09.0
X 3801110502 /    3  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10593856                      11.00         20.000 MAMASD2      13.02.2019 09.0
X 3801110502 /    4  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10593856                       2.00         20.000 MAMASD2      13.02.2019 09.0
X 3801110502 /    5  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     10593856                       2.00         20.000 MAMASD2      13.02.2019 09.0
X 3801111012 /    1  ECPO  800000     115052     MAX1 SERVICES PTY LTD               F     10648065                    1898.00        130.000 MAHILS       13.02.2019 25.0
X 3801111012 /    2  ECPO  800000     115052     MAX1 SERVICES PTY LTD               F     10648065                     258.00         30.000 MAHILS       13.02.2019 25.0
X 3801111426 /    1  ECPO  800000     200480     WALDRICH SIEGEN GMBH & CO KG        F     10648123                   69796.76          0.000 MAMAGS       20.02.2019 19.0
X 3801111480 /    1  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     10646752                     940.00          0.000 SRM_ER04     19.02.2019 20.0
X 3801111480 /    2  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     10646752                      30.00          0.000 SRM_ER04     19.02.2019 20.0
X 3801111519 /    1  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     10647519                     637.50          0.000 SRM_ER04     19.02.2019 20.0
X 3801111519 /    2  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     10647519                      76.50          0.000 SRM_ER04     19.02.2019 20.0
X 3801111519 /    3  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     10647519                      25.00          0.000 SRM_ER04     19.02.2019 20.0
X 3801111655 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10639632                     169.50          0.000 MA9MURP1     11.02.2019 20.0
X 3801111655 /    2  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10639632                      21.00          0.000 MA9MURP1     11.02.2019 20.0
X 3801111655 /    3  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10639632                      72.00          0.000 MA9MURP1     11.02.2019 20.0
X 3801111655 /    4  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10639632                      13.00          0.000 MA9MURP1     11.02.2019 20.0
X 3801112021 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     10639343                     390.00          0.000 SRM_ER04     26.02.2019 21.0
X 3801112404 /    1  ECPO  800000     102911     FITT RESOURCES PTY LTD              F     10647349                     950.17          1.000 MA9HALS      21.02.2019 25.0
X 3801112404 /    2  ECPO  800000     102911     FITT RESOURCES PTY LTD              F     10647349                     186.83          1.000 MA9HALS      21.02.2019 25.0
X 3801112404 /    3  ECPO  800000     102911     FITT RESOURCES PTY LTD              F     10647349                      35.00          1.000 MA9HALS      21.02.2019 25.0
X 3801112532 /    1  ECPO  800000     103231     HITEMP PNEUMATICS PTY LTD           F     10648610                    1485.00          1.000 MAPERG       25.02.2019 25.0
X 3801112532 /    2  ECPO  800000     103231     HITEMP PNEUMATICS PTY LTD           F     10648610                      30.00          1.000 MAPERG       25.02.2019 25.0
X 3801112645 /    1  ECPO  800000     104424     INTEGRITY PUMPS & ENGINEERING       F     10622492                    1144.20          0.000 MADRYG1      27.02.2019 25.0
X 3801112651 /    1  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10624589                       8.60          1.000 MAFERS       21.02.2019 20.0
X 3801112651 /    2  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10624589                       7.00          1.000 MAFERS       21.02.2019 20.0
X 3801112768 /    1  ECPO  800000     115179     BALLUFF PTY LTD                     F     10642910                     684.66          0.000 MA9ZEIP      21.02.2019 25.0
X 3801112768 /    2  ECPO  800000     115179     BALLUFF PTY LTD                     F     10642910                      20.00          0.000 MA9ZEIP      21.02.2019 25.0
X 3801112842 /    1  ECPO  800000     117179     ALL TRADES SAFETY & WORKWEAR SUPPLI F     10625507                     347.40         12.000 MA9MITD      25.02.2019 25.0
X 3801112842 /    2  ECPO  800000     117179     ALL TRADES SAFETY & WORKWEAR SUPPLI F     10625507                      54.00         12.000 MA9MITD      25.02.2019 25.0
X 3801112842 /    3  ECPO  800000     117179     ALL TRADES SAFETY & WORKWEAR SUPPLI F     10625507                      54.00         12.000 MA9MITD      25.02.2019 25.0
X 3801113125 /    1  ECPO  800000     113972     KINDER & CO PTY LTD                 F     10628166                    1322.00          0.000 MAHOBP       22.02.2019 18.0
X 3801113134 /    1  ECPO  800000     113972     KINDER & CO PTY LTD                 F     10628584                    1322.00          0.000 MAHOBP       22.02.2019 01.0
X 3801113501 /    1  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     10644487                    3500.00          0.000 MA9PIVJ      25.01.2019 21.0
X 3801114265 /    1  ECPO  800000     103064     AIRPLANT SERVICES PTY LTD           F     10647245                     778.50          0.000 MASMIG1      27.02.2019 26.0
X 3900594717 /    2  NB    800000     102738     ONESTEEL STEEL AND TUBE             F     10638590                     149.00         10.000 UMB          12.11.2018 05.1
X 3900594717 /    3  NB    800000     102738     ONESTEEL STEEL AND TUBE             F     10638590                    1020.00         20.000 UMB          12.11.2018 05.1
X 3900596807 /    1  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                    8491.82          1.000 EMD          25.02.2019 03.0
X 3900596807 /    2  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                     708.38          1.000 EMD          25.02.2019 03.0
X 3900596807 /    3  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                     680.75          1.000 EMD          25.02.2019 03.0
X 3900596807 /    4  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                   10286.64          3.000 EMD          25.02.2019 03.0
X 3900596807 /    5  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                    6536.22          4.000 EMD          25.02.2019 03.0
X 3900596807 /    6  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                     276.32          1.000 EMD          25.02.2019 03.0
X 3900596807 /    7  NB    800000     202565     ELLIOTT GROUP EBARA CORPORATION     F     10640377                     489.84          6.000 EMD          25.02.2019 03.0
X 3900600540 /    1  NB    800000     105864     BURLING SIGNS & DIGITAL PRINTING PT F     10643322                     120.00          2.000 VE6          23.01.2019 24.1
X 3900600540 /    2  NB    800000     105864     BURLING SIGNS & DIGITAL PRINTING PT F     10643322                     120.00          2.000 VE6          23.01.2019 24.1
X 3900600540 /    3  NB    800000     105864     BURLING SIGNS & DIGITAL PRINTING PT F     10643322                     120.00          2.000 VE6          23.01.2019 24.1
X 3900600707 /    1  NB    800000     104056     SPECIALISED WELDING PRODUCTS        F     10628780                     252.00          5.000 BM0          18.12.2018 17.1
X 3900601018 /    1  NB    800000     102831     VALVEMAN                            F     10622492                      34.00          2.000 CMD          08.01.2019 20.1
X 3900604516 /    1  NB    800000     102831     VALVEMAN                            F     10614093                     217.20          6.000 VMG          28.01.2019 21.0
X 3900604516 /    2  NB    800000     102831     VALVEMAN                            F     10614093                     240.00          4.000 VMG          28.01.2019 08.0
X 3900606157 /    1  NB    800000     105915     MICROFLEX FLOW CONTROL PTY LTD      F     10620918                     162.00          1.000 CME          07.02.2019 04.0
X 3900606157 /    2  NB    800000     105915     MICROFLEX FLOW CONTROL PTY LTD      F     10620918                     795.00          5.000 CME          07.02.2019 04.0

                                                                                                        ---------------
*     Total for category PM01                                                                               625,121.53

Category:          PM02                        Breakdown

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Inv     Qty of Inv    User         Last IR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not receipted   not receipted                Date     End
X 3801075987 /    1  ECPO  800000     103512     DCL ENGINEERING PTY LTD             F     20463824                    7784.00          0.000 MAGREE       20.12.2018 24.0
X 3801080046 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20467482                     182.85          0.000 SRM_ER04     10.10.2018 12.1
X 3801080046 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20467482                     309.35          0.000 SRM_ER04     10.10.2018 12.1
X 3801080046 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     20467482                      48.45          0.000 SRM_ER04     10.10.2018 12.1
X 3801080046 /    4  ECPO  800000     103890     TLE ELECTRICAL                      F     20467482                      41.90          0.000 SRM_ER04     10.10.2018 12.1
X 3801082067 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20467049                     955.00          0.000 SRM_ER04     01.11.2018 22.1
X 3801082067 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20467049                      40.00          0.000 SRM_ER04     01.11.2018 22.1
X 3801096069 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20472501                      27.50          0.000 SRM_ER04     04.12.2018 04.1
X 3801096167 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20472509                      98.05          5.000 SRM_ER04     07.12.2018 12.1
X 3801096167 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20472509                     282.75          5.000 SRM_ER04     07.12.2018 12.1
X 3801096308 /    1  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     20472592                    1200.00          1.000 MADRYG1      10.12.2018 06.1
X 3801096308 /    2  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     20472592                     655.00          1.000 MADRYG1      10.12.2018 06.1
X 3801096308 /    3  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     20472592                     880.00          1.000 MADRYG1      10.12.2018 06.1
X 3801101509 /    1  ECPO  800000     102230     SYNTECHTRON PTY LTD                 F     20474339                    4325.00          1.000 SRM_ER04     16.01.2019 10.0
X 3801101509 /    2  ECPO  800000     102230     SYNTECHTRON PTY LTD                 F     20474339                     450.00          2.000 SRM_ER04     16.01.2019 10.0
X 3801101509 /    3  ECPO  800000     102230     SYNTECHTRON PTY LTD                 F     20474339                     236.00          4.000 SRM_ER04     16.01.2019 10.0
X 3801102690 /    1  ECPO  800000     103829     REFRIGERATION & AIR SUPPLIES        F     20475429                    1252.50          1.000 SRM_ER04     20.02.2019 04.0
X 3801103243 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20475459                     274.00        100.000 SRM_ER04     16.01.2019 16.0
X 3801103243 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20475459                    1761.60         80.000 SRM_ER04     16.01.2019 16.0
X 3801105812 /    1  ECPO  800000     111744     AUST ENGINEERING SALES & SERVICE NS F     20474927                    1716.00          0.000 MAKOTA       19.02.2019 25.0
X 3801106653 /    1  ECPO  800000     116194     SN TECHNOLOGIES PTY LTD             F     20476754                    2317.00          1.000 MADUNM2      13.02.2019 04.0
X 3801106653 /    2  ECPO  800000     116194     SN TECHNOLOGIES PTY LTD             F     20476754                   11017.00          1.000 MADUNM2      13.02.2019 04.0
X 3801108311 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20477103                     227.20         20.000 SRM_ER04     05.02.2019 31.0
X 3801108311 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20477103                      42.00         20.000 SRM_ER04     05.02.2019 31.0
X 3801108311 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     20477103                     116.88          3.000 SRM_ER04     05.02.2019 31.0
X 3801108330 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                    1090.00          2.000 SRM_ER04     06.02.2019 01.0
X 3801108330 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                      53.55          3.000 SRM_ER04     06.02.2019 01.0
X 3801108330 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                       8.39          1.000 SRM_ER04     06.02.2019 01.0
X 3801108330 /    4  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                     172.07          1.000 SRM_ER04     06.02.2019 01.0
X 3801108330 /    5  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                      96.03          3.000 SRM_ER04     06.02.2019 01.0
X 3801108330 /    6  ECPO  800000     103890     TLE ELECTRICAL                      F     20477428                      13.09          1.000 SRM_ER04     06.02.2019 01.0
X 3801108339 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                      26.88          3.000 SRM_ER04     06.02.2019 31.0
X 3801108339 /    2  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                      16.38          1.000 SRM_ER04     06.02.2019 31.0
X 3801108339 /    3  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                       7.00          1.000 SRM_ER04     06.02.2019 31.0
X 3801108339 /    4  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                       9.94          1.000 SRM_ER04     06.02.2019 31.0
X 3801108339 /    5  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                      16.38          1.000 SRM_ER04     06.02.2019 31.0
X 3801108339 /    6  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477099                      10.64          2.000 SRM_ER04     06.02.2019 31.0
X 3801108408 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477285                       8.20          2.000 MA9SKAA      01.02.2019 01.0
X 3801108408 /    2  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     20477285                       8.50          1.000 MA9SKAA      01.02.2019 01.0
X 3801109020 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20476724                     106.00         10.000 SRM_ER04     08.02.2019 11.0
X 3801109020 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20476724                     106.00         10.000 SRM_ER04     08.02.2019 11.0
X 3801109020 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     20476724                      19.80         10.000 SRM_ER04     08.02.2019 11.0
X 3801110311 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20478082                     443.50         10.000 SRM_ER04     18.02.2019 15.0
X 3801110311 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20478082                     176.00          2.000 SRM_ER04     18.02.2019 15.0
X 3801110643 /    1  ECPO  800000     103829     REFRIGERATION & AIR SUPPLIES        F     20477991                     510.00          0.000 MA9FLOO      20.02.2019 13.0
X 3801111041 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     20476233                      76.50          0.000 MA9CABR      14.02.2019 13.0
X 3801111252 /    1  ECPO  800000     116857     FIRESENSE PTY LTD                   F     20475353                     240.00          0.000 SRM_ER04     15.02.2019 19.0
X 3801111252 /    2  ECPO  800000     116857     FIRESENSE PTY LTD                   F     20475353                      30.00          0.000 SRM_ER04     15.02.2019 19.0
X 3801111346 /    1  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     20474146                     795.00          0.000 SRM_ER04     25.02.2019 19.0
X 3801111346 /    2  ECPO  800000     102091     NOTIFIER INERTIA FIRE               F     20474146                      25.00          0.000 SRM_ER04     25.02.2019 19.0
X 3801111358 /    1  ECPO  800000     103829     REFRIGERATION & AIR SUPPLIES        F     20477411                     103.20          1.000 MA9PRYT      20.02.2019 14.0
X 3801111569 /    1  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20477423                     275.40          0.000 SRM_ER04     18.02.2019 20.0
X 3801111569 /    2  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20477423                     139.05          0.000 SRM_ER04     18.02.2019 20.0
X 3801111569 /    3  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20477423                     137.20          0.000 SRM_ER04     18.02.2019 20.0
X 3801111569 /    4  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20477423                      30.00          0.000 SRM_ER04     18.02.2019 20.0
X 3801111947 /    1  ECPO  800000     103829     REFRIGERATION & AIR SUPPLIES        F     20477411                      22.80          0.000 MA9FLOO      20.02.2019 15.0
X 3801113162 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20479166                     252.80          1.000 SRM_ER04     21.02.2019 26.0
X 3801113162 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20479166                      55.00          1.000 SRM_ER04     21.02.2019 26.0
X 3801113614 /    1  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20456950                     278.10          0.000 SRM_ER04     25.02.2019 27.0
X 3801113614 /    2  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20456950                     137.20          0.000 SRM_ER04     25.02.2019 27.0
X 3801113614 /    3  ECPO  800000     116252     INCITE FIRE PTY LTD                 F     20456950                      25.00          0.000 SRM_ER04     25.02.2019 27.0
X 3801114121 /    1  ECPO  800000     103940     ABLE FABRICATIONS PTY LTD           F     20479529                     345.00          0.000 MA9PIVJ      27.02.2019 26.0
X 3900601729 /    1  NB    800000     102738     ONESTEEL STEEL AND TUBE             F     20474527                     126.88          8.000 UMB          14.01.2019 28.1
X 3900601729 /    2  NB    800000     102738     ONESTEEL STEEL AND TUBE             F     20474527                     119.20          8.000 UMB          14.01.2019 28.1
X 3900601729 /    3  NB    800000     102738     ONESTEEL STEEL AND TUBE             F     20474527                     408.00          8.000 UMB          14.01.2019 28.1

                                                                                                        ---------------
*     Total for category PM02                                                                                42,759.71

Category:          PM03                        Routine with Notification

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Inv     Qty of Inv    User         Last IR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not receipted   not receipted                Date     End
X 3800968015 /    1  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     361.89         20.000 MADEGJ       30.10.2018 02.0
X 3800968015 /    2  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     565.55         20.000 MADEGJ       30.10.2018 02.0
X 3800968015 /    3  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     536.00         20.000 MADEGJ       30.10.2018 02.0
X 3800968015 /    4  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     404.91         20.000 MADEGJ       30.10.2018 02.0
X 3800968015 /    5  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     447.94         20.000 MADEGJ       30.10.2018 02.0
X 3800968015 /    6  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458585                     558.71         20.000 MADEGJ       30.10.2018 02.0
X 3801059684 /    1  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30514592                      80.35          5.000 MADEGJ       30.08.2018 20.0
X 3801059684 /    2  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30514592                     647.25          5.000 MADEGJ       30.08.2018 20.0
X 3801077720 /    1  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     135.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801077720 /    2  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     309.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801077720 /    3  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                      76.80          4.000 MA9MCGBR     01.11.2018 10.1
X 3801077720 /    4  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     108.80          4.000 MA9MCGBR     01.11.2018 10.1
X 3801077720 /    5  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     100.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801077720 /    6  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                      35.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801078228 /    1  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     482.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801078228 /    2  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     309.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801078228 /    3  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     309.00          1.000 MA9MCGBR     01.11.2018 10.1
X 3801078228 /    4  ECPO  800000     115598     LUBRICATION ENGINEERS PTY LTD       F     30549954                     552.00          4.000 MA9MCGBR     01.11.2018 10.1
X 3801095987 /    2  ECPO  800000     104644     MORGAN AM&T                         F     30556676                    2211.69         30.000 MAVINE       12.12.2018 28.1
X 3801096522 /    1  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     30558202                    1200.00          1.000 MADRYG1      10.12.2018 22.0
X 3801096522 /    2  ECPO  800000     103354     ILLAWARRA WIRE ROPES                F     30558202                     655.00          1.000 MADRYG1      10.12.2018 22.0
X 3801104163 /    1  ECPO  800000     103267     POWERFLO SOLUTIONS PTY LTD          F     30491947                    2252.00          4.000 MAPENA1      30.01.2019 04.0
X 3801104163 /    2  ECPO  800000     103267     POWERFLO SOLUTIONS PTY LTD          F     30491947                     100.00          4.000 MAPENA1      30.01.2019 04.0
X 3801104163 /    3  ECPO  800000     103267     POWERFLO SOLUTIONS PTY LTD          F     30491947                      60.00          4.000 MAPENA1      30.01.2019 04.0
X 3801104163 /    4  ECPO  800000     103267     POWERFLO SOLUTIONS PTY LTD          F     30491947                     120.00          4.000 MAPENA1      30.01.2019 04.0
X 3801104163 /    5  ECPO  800000     103267     POWERFLO SOLUTIONS PTY LTD          F     30491947                      50.00          1.000 MAPENA1      30.01.2019 04.0
X 3801106801 /    1  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30514594                     546.00         20.000 MADEGJ       30.01.2019 01.0
X 3801106801 /    2  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30514594                     124.00         10.000 MADEGJ       30.01.2019 01.0
X 3801106801 /    3  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30514594                      15.00          1.000 MADEGJ       30.01.2019 01.0
X 3801108614 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     30552954                     351.70          1.000 MAKITK       12.02.2019 07.0
X 3801108614 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     30552954                     703.40          2.000 MAKITK       12.02.2019 07.0
X 3801108614 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     30552954                     351.70          1.000 MAKITK       12.02.2019 07.0
X 3801108614 /    4  ECPO  800000     103890     TLE ELECTRICAL                      F     30552954                     351.70          1.000 MAKITK       12.02.2019 07.0
X 3801110431 /    1  ECPO  800000     104117     STAUFF CORPORATION PTY LTD          F     30567722                     351.00          0.000 MATIMF       21.02.2019 11.0
X 3801112831 /    1  ECPO  800000     115215     EMERSON AUTOMATION SOLUTIONS        F     30514589                    1760.00          2.000 MADEGJ       24.02.2019 26.0
X 3801112831 /    2  ECPO  800000     115215     EMERSON AUTOMATION SOLUTIONS        F     30514589                    1310.00          2.000 MADEGJ       24.02.2019 26.0
X 3801112831 /    3  ECPO  800000     115215     EMERSON AUTOMATION SOLUTIONS        F     30514589                      40.00          1.000 MADEGJ       24.02.2019 26.0
X 3801113355 /    1  ECPO  800000     117296     CORRWEAR PTY LTD                    F     30575080                    1305.44          0.000 MA9PIVJ      16.11.2018 19.0
X 3801113505 /    1  ECPO  800000     102390     ATLAS RUBBER PTY LTD                F     30575080                     748.00          0.000 MA9PIVJ      26.02.2019 21.0
X 3900529118 /    2  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30487747                      12.18          6.000 EE2          29.09.2017 04.0
X 3900605158 /    1  NB    800000     113569     LSW GROUP PTY LTD                   F     30567589                   17280.00          2.000 HMB          31.01.2019 04.0
X 3900605158 /    2  NB    800000     113569     LSW GROUP PTY LTD                   F     30567589                   17280.00          2.000 HMB          31.01.2019 04.0

                                                                                                        ---------------
*     Total for category PM03                                                                                55,198.01

Category:          PM04                        Routine without Notification

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Inv     Qty of Inv    User         Last IR    Del
